f_bus,t_bus,r,x,b,rateA,rateB,rateC,ratio,angle,status,min_a,max_a
959,177,3.712551708580837e-06,3.712551708580837e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
279,177,0.060170264596238185,0.013141712070249724,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
1054,279,2.5019370210001292e-06,2.5019370210001292e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
431,414,2.4212293751614154e-06,2.4212293751614154e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
414,438,2.09839879180656e-06,2.09839879180656e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
350,763,2.09839879180656e-06,2.09839879180656e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
535,763,0.0005913401700799698,0.0003695876201595167,0.0,6.49,6.49,6.49,0.0,0.0,1,0.0,0.0
535,870,0.015779582578924024,0.0034463988521983803,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
466,962,2.905475250193698e-06,2.905475250193698e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
962,1047,3.2283058335485537e-06,3.2283058335485537e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
274,1047,0.011249190497906287,0.0024569215963879286,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
361,274,0.01781689372855315,0.0038913654267281076,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
488,278,0.019544278705246255,0.012269172478295754,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
622,488,0.022834001441221143,0.01433433826221453,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
351,1049,0.02972675968279482,0.018661355953297768,0.0,6.314,6.314,6.314,0.0,0.0,1,0.0,0.0
816,234,2.744059958516271e-06,2.744059958516271e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
234,934,3.2283058335485537e-06,3.2283058335485537e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
934,242,0.00037912298265528133,8.280377543131962e-05,0.0,3.74,3.74,3.74,0.0,0.0,1,0.0,0.0
798,60,2.905475250193698e-06,2.905475250193698e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
60,744,2.5826446668388435e-06,2.5826446668388435e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
744,736,0.021315868734381547,0.0069833580085534,0.0,4.4,4.4,4.4,0.0,0.0,1,0.0,0.0
598,563,0.11141679898051657,0.05135310910124042,0.0,5.17,5.17,5.17,0.0,0.0,1,0.0,0.0
598,77,0.21523491477144588,0.0636616404587606,0.0,2.53,2.53,2.53,0.0,0.0,1,0.0,0.0
374,957,4.761751104484117e-06,4.761751104484117e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
144,957,0.006793435353806818,0.009782547300783696,0.0,10.23,10.23,10.23,0.0,0.0,1,0.0,0.0
163,144,0.008134640950547521,0.011713883437343748,0.0,10.23,10.23,10.23,0.0,0.0,1,0.0,0.0
163,961,0.06660137887988372,0.02181948474055611,0.0,4.4,4.4,4.4,0.0,0.0,1,0.0,0.0
1013,961,5.0038740420002585e-06,5.0038740420002585e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
324,1013,2.09839879180656e-06,2.09839879180656e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
852,780,2.09839879180656e-06,2.09839879180656e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
780,1068,1.6141529167742769e-06,1.6141529167742769e-06,0.0,21.978,21.978,21.978,0.0,0.0,1,0.0,0.0
