f_bus,t_bus,repair_time,failure_frequency_permanent,failure_frequency_temporary,length
654,215,0.0,0.0,0.0,3.125e-05
689,654,0.0,0.0,0.0,1.5625e-05
1056,689,0.0,0.0,0.0,1.5625e-05
372,282,0.0,0.0,0.0,1.5625e-05
374,372,0.0,0.0,0.0,1.5625e-05
151,374,0.0,0.0,0.0,7.03125e-05
364,151,0.0,0.0,0.0,3.515625e-05
981,364,0.0,0.0,0.0,3.125e-05
735,330,0.0,0.0,0.0,3.125e-05
860,735,0.0,0.0,0.0,3.125e-05
799,860,0.0,0.0,0.0,3.125e-05
1082,799,0.0,0.0,0.0,3.125e-05
141,1082,0.0,0.0,0.0,1.5625e-05
825,141,0.0,0.0,0.0,1.5625e-05
836,571,0.0,0.0,0.0,1.5625e-05
1035,836,0.0,0.0,0.0,1.5625e-05
404,1035,0.0,0.0,0.0,7.03125e-05
205,404,0.0,0.0,0.0,3.515625e-05
850,205,0.0,0.0,0.0,3.125e-05
152,643,0.0,0.0,0.0,3.125e-05
1133,152,0.0,0.0,0.0,1.5625e-05
530,1133,0.0,0.0,0.0,1.5625e-05
130,530,0.0,0.0,0.0,1.5625e-05
484,130,0.0,0.0,0.0,1.5625e-05
830,484,0.0,0.0,0.0,3.125e-05
584,59,0.0,0.0,0.0,1.5625e-05
746,584,0.0,0.0,0.0,1.5625e-05
746,100,0.0,0.0,0.0,6.25e-05
100,288,0.0,0.0,0.0,3.125e-05
288,296,0.0,0.0,0.0,3.125e-05
842,1071,0.0,0.0,0.0,3.125e-05
1103,842,0.0,0.0,0.0,3.125e-05
239,1103,0.0,0.0,0.0,1.5625e-05
1060,239,0.0,0.0,0.0,1.5625e-05
362,639,0.0,0.0,0.0,1.5625e-05
273,362,0.0,0.0,0.0,1.5625e-05
273,493,0.0,0.0,0.0,6.25e-05
493,359,0.0,0.0,0.0,3.125e-05
359,525,0.0,0.0,0.0,0.0002205561596
850,401,0.0,0.0,0.0,1.5625e-05
259,1125,0.0,0.0,0.0,1.5625e-05
924,168,0.0,0.0,0.0,3.125e-05
539,924,0.0,0.0,0.0,3.125e-05
335,539,0.0,0.0,0.0,3.125e-05
627,335,0.0,0.0,0.0,3.125e-05
299,563,0.0,0.0,0.0,1.5625e-05
563,589,0.0,0.0,0.0,1.5625e-05
339,389,0.0,0.0,0.0,1.5625e-05
246,471,0.0,0.0,0.0,3.125e-05
921,246,0.0,0.0,0.0,1.5625e-05
179,921,0.0,0.0,0.0,1.5625e-05
328,179,0.0,0.0,0.0,1.5625e-05
952,328,0.0,0.0,0.0,1.5625e-05
890,952,0.0,0.0,0.0,1.5625e-05
546,890,0.0,0.0,0.0,1.5625e-05
946,200,0.0,0.0,0.0,7.8125e-06
202,946,0.0,0.0,0.0,7.8125e-06
835,202,0.0,0.0,0.0,3.125e-05
835,989,0.0,0.0,0.0,6.25e-05
989,1066,0.0,0.0,0.0,3.125e-05
1066,739,0.0,0.0,0.0,3.125e-05
259,159,0.0,0.0,0.0,1.5625e-05
159,483,0.0,0.0,0.0,1.5625e-05
249,762,0.0,0.0,0.0,1.5625e-05
762,480,0.0,0.0,0.0,1.5625e-05
480,515,0.0,0.0,0.0,6.25e-05
715,1040,0.0,0.0,0.0,3.125e-05
66,715,0.0,0.0,0.0,1.5625e-05
561,66,0.0,0.0,0.0,1.5625e-05
261,561,0.0,0.0,0.0,1.5625e-05
208,261,0.0,0.0,0.0,1.5625e-05
94,208,0.0,0.0,0.0,1.5625e-05
616,94,0.0,0.0,0.0,1.5625e-05
809,463,0.0,0.0,0.0,1.5625e-05
657,809,0.0,0.0,0.0,1.5625e-05
657,187,0.0,0.0,0.0,6.25e-05
187,898,0.0,0.0,0.0,3.125e-05
898,109,0.0,0.0,0.0,3.125e-05
137,574,0.0,0.0,0.0,1.5625e-05
627,379,0.0,0.0,0.0,1.5625e-05
242,627,0.0,0.0,0.0,1.5625e-05
562,242,0.0,0.0,0.0,1.5625e-05
731,1047,0.0,0.0,0.0,1.5625e-05
560,731,0.0,0.0,0.0,1.5625e-05
